物品名称,时间,日期
水晶块,04:14:46.019,20250810
水晶块,04:15:00.756,20250810
水晶块,04:15:40.610,20250810
魔晶块,04:15:41.154,20250810
甜甜花,04:15:46.620,20250810
水晶块,04:15:49.599,20250810
水晶块,04:16:06.565,20250810
Lv.9,04:16:29.416,20250810
水晶块,04:16:42.920,20250810
水晶块,04:16:57.762,20250810
水晶块,04:17:17.819,20250810
薄荷,04:17:23.934,20250810
水晶块,04:17:58.860,20250810
水晶块,04:18:38.657,20250810
水晶块,04:18:39.203,20250810
水晶块,04:19:18.869,20250810
水晶块,04:19:39.063,20250810
水晶块,04:20:09.665,20250810
甜甜花,04:20:31.608,20250810
水晶块,04:20:41.774,20250810
铁块,04:21:21.821,20250810
铁块,04:21:26.026,20250810
铁块,04:21:30.377,20250810
白铁块,04:21:35.693,20250810
自铁块,04:21:35.808,20250810
水晶块,04:23:14.513,20250810
水晶块,04:23:16.873,20250810
水晶块,04:24:12.964,20250810
水晶块,04:24:25.019,20250810
水晶块,04:24:34.913,20250810
水晶块,04:25:35.459,20250810
水晶块,04:25:43.436,20250810
水晶块,04:26:39.221,20250810
铁块,04:26:41.120,20250810
铁块,04:26:42.710,20250810
白铁块,04:26:43.668,20250810
铁块,04:26:44.570,20250810
水晶块,04:26:47.260,20250810
铁块,04:26:47.930,20250810
铁块,04:26:49.818,20250810
水晶块,04:26:53.512,20250810
铁块,04:27:03.564,20250810
白铁块,04:27:30.756,20250810
水晶块,04:27:43.659,20250810
白铁块,04:27:48.774,20250810
清水玉,04:28:11.411,20250810
清水玉,04:28:14.958,20250810
水晶块,04:28:33.466,20250810
水晶块,04:28:33.856,20250810
水晶块,04:28:37.911,20250810
白铁块,04:29:01.763,20250810
铁块,04:29:02.509,20250810
水晶块,04:29:04.091,20250810
铁块,04:29:05.334,20250810
铁块,04:29:11.817,20250810
铁块,04:29:13.675,20250810
水晶块,04:29:15.056,20250810
白铁块,04:29:16.308,20250810
铁块,04:29:58.457,20250810
水晶块,04:29:59.005,20250810
白铁块,04:30:03.563,20250810
水晶块,04:30:04.619,20250810
铁块,04:30:05.016,20250810
白铁块,04:30:11.417,20250810
铁块,04:30:31.266,20250810
水晶块,04:30:41.980,20250810
水晶块,04:30:50.522,20250810
铁块,04:30:53.968,20250810
铁块,04:30:57.217,20250810
铁块,04:31:51.168,20250810
铁块,04:31:52.190,20250810
铁块,04:32:01.767,20250810
铁块,04:32:37.626,20250810
铁块,04:32:37.976,20250810
水晶块,04:34:49.070,20250810
水晶块,04:34:53.615,20250810
水晶块,04:35:16.611,20250810
水晶块,04:35:17.193,20250810
水晶块,04:35:18.755,20250810
白铁块,04:35:51.584,20250810
绝云椒椒,04:36:11.255,20250810
水晶块,04:36:46.012,20250810
水晶块,04:36:49.257,20250810
水晶块,04:37:05.259,20250810
